name,price,unit_price,description,availability,regular_price,discounted_price,discount_percent,discount_type,discount_period,category,market,last_updated
СУПА ГУСТО КРЕМ,25,100 гр = 45.5,GUSTO КРЕМ СУПА,Да,25,,,,,Слатки и бонбони,KAM,2025-04-18
СУПА ГУСТО КРЕМ,25,100 гр = 45.5,GUSTO КРЕМ СУПА,Да,25,,,,,Слатки и бонбони,KAM,2025-04-18
МИКС ГУСТО ЗА,23,100 гр = 46.0,GUSTO ДОДАТОК ЗА,Да,23,,,,,Останато,KAM,2025-04-18
МИКС ГУСТО ЗА,23,100 гр = 46.0,GUSTO ДОДАТОК ЗА,Да,23,,,,,Останато,KAM,2025-04-18
МИКС ГУСТО ЗА,25,100 гр = 55.6,GUSTO ДОДАТОК ЗА,Да,25,,,,,Останато,KAM,2025-04-18
БОЈА ЗА,8,,,Да,8,,,,,Останато,KAM,2025-04-18
МЕДАЛЈОН,142,100 гр = 29.6,VALDOR МЕДАЛЈОН,Да,142,,,,,Останато,KAM,2025-04-18
ПИЛЕШКИ,209,100 гр = 41.8,ZIZU МИНИФИЛЕТИ,Да,209,,,,,Останато,KAM,2025-04-18
МЛЕКО ЧОК.БЕЛЛА,26,,,Да,26,,,,,Млеко и млечни производи,KAM,2025-04-18
ПИРОШКИ,85,100 гр = 21.3,KAMKO ПИРОШКИ,Да,85,,,,,Останато,KAM,2025-04-18
ПИРОШКИ ШУНКА,85,100 гр = 21.3,KAMKO ПИРОШКИ,Да,85,,,,,Останато,KAM,2025-04-18
ЛИСН.ТЕСТО,55,100 гр = 11.0,SECHI PECHI,Да,55,,,,,Останато,KAM,2025-04-18
ЛИСН.ПОГ.ГУСТО,139,,,Да,139,,,,,Останато,KAM,2025-04-18
КВАСЕЦ СВЕЖ БИТ.,14,100 гр = 35.0,KVASARA BITOLA,Да,14,,,,,Останато,KAM,2025-04-18
КВАСЕЦ СВЕЖ,37,100 гр = 7.4,VIVO КВАСЕЦ СВЕЖ,Да,37,,,,,Останато,KAM,2025-04-18
ЛИСН.ПОГ.ГУСТО,139,,,Да,139,,,,,Останато,KAM,2025-04-18
ГРАШОК САНИ,41,100 гр = 15.8,SUNNY FANTASY,Да,41,,,,,Останато,KAM,2025-04-18
ОСЛИЧ,176,,,Да,176,,,,,Останато,KAM,2025-04-18
МАРГАРИН СО,50,100 гр = 20.0,DOBRO JUTRO,Да,50,,,,,Останато,KAM,2025-04-18
МИСИРКА ЦЕЛА,929,,,Да,929,,,,,Останато,KAM,2025-04-18
ОСЛИЧ СЛОГА,168,,,Да,168,,,,,Останато,KAM,2025-04-18
ПИЛЕ ПЕРУТНИНА,225,,,Да,225,,,,,Останато,KAM,2025-04-18
ЏИГЕР ПИЛЕШКИ,92,100 гр = 18.4,CEKIN ЏИГЕР,Да,92,,,,,Останато,KAM,2025-04-18
МЛЕКО КОНДЕНЗ,57,100 гр = 16.8,HOCHWALD МЛЕКО,Да,57,,,,,Млеко и млечни производи,KAM,2025-04-18
СЛАДОЛЕД ТРИО,50,,,Да,50,,,,,Останато,KAM,2025-04-18
СЛАД.СТАП.,125,,,Да,125,,,,,Останато,KAM,2025-04-18
СЛАДОЛЕД МИНИ,169,,,Да,169,,,,,Останато,KAM,2025-04-18
СЛАД.СТАП. БАДЕМ,119,,,Да,119,,,,,Останато,KAM,2025-04-18
